Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Arrecadacao_Total;Ganhadores_15_N��meros;Cidade;;Ganhadores_14_Números;Ganhadores_13_Números;Ganhadores_12_Números;Ganhadores_11_Números;Valor_Rateio_15_Números;Valor_Rateio_14_N��meros;Valor_Rateio_13_Números;Valor_Rateio_12_Números;Valor_Rateio_11_Números;Acumulado_15_Números;Estimativa_Premio;Valor_Acumulado_Especial
112;14/11/2005;1;2;3;4;6;10;11;14;15;17;18;19;20;21;23;0;1;;SP;341;13885;218980;1274318;1.749.331,36;2.198,57;10;4;2;0;0;0
113;21/11/2005;1;2;4;5;6;8;11;12;13;14;19;20;21;24;25;0;3;;SP;437;16637;236170;1390432;514.867,34;1.514,81;10;4;2;0;0;0
114;28/11/2005;1;2;3;6;7;8;9;10;11;14;20;21;22;24;25;0;0;;;320;11371;182608;1159190;0;2.542,69;10;4;2;1.898.540,00;0;0
115;05/12/2005;1;4;5;6;7;9;11;12;13;16;17;18;20;21;25;0;1;;MG;674;22580;326888;1754217;4.081.776,78;1.388,24;10;4;2;0;0;0
116;12/12/2005;1;2;9;10;11;12;13;14;16;18;19;20;21;23;25;0;2;;SP;484;20047;292261;1619598;848.830,45;1.503,24;10;4;2;0;0;0
117;19/12/2005;5;6;7;9;10;11;12;13;14;15;17;18;20;23;25;0;3;;SP;498;18606;280170;1592727;569.686,18;1.470,79;10;4;2;0;0;0
118;27/12/2005;2;4;5;6;8;12;13;14;15;18;19;21;22;23;24;0;4;;BA;660;35222;301415;1520411;357.319,00;928,1;10;4;2;0;0;0
119;02/01/2006;1;4;6;8;9;10;11;15;17;18;20;21;22;23;24;0;1;;SP;370;20989;223234;1259823;1.663.143,71;1.926,43;10;4;2;0;0;0
120;09/01/2006;1;3;5;7;8;11;12;13;15;16;18;19;20;21;24;0;2;;PR;758;25198;303361;1549722;746.715,01;844,38;10;4;2;0;0;0
121;16/01/2006;1;2;4;5;7;9;10;11;12;16;17;18;23;24;25;0;3;;PI;830;27637;298499;1491043;492.515,31;760,04;10;4;2;0;0;0
122;23/01/2006;1;2;4;5;8;9;10;13;15;17;18;20;22;23;25;0;8;;DF;1291;32778;368045;1643408;136.137,23;360,18;10;4;2;0;0;0
123;30/01/2006;4;5;6;7;11;12;13;17;18;19;20;21;22;23;24;0;4;;BA;670;18123;225258;1346974;422.565,92;1.081,20;10;4;2;0;0;0
124;06/02/2006;2;3;4;6;7;9;14;15;16;18;19;20;21;24;25;0;2;;SP;396;15090;194421;1186925;1.036.561,02;2.243,64;10;4;2;0;0;0
125;13/02/2006;2;3;4;6;7;9;10;11;12;15;16;21;22;24;25;0;2;;GO;395;13621;188288;1269512;1.047.965,76;2.274,07;10;4;2;0;0;0
126;20/02/2006;1;2;3;4;6;7;8;13;14;16;18;21;22;24;25;0;0;;;493;18073;245449;1428758;0;1.516,70;10;4;2;1.744.710,64;0;0
